timestamp,model,split,rule,f1_macro,mcc,accuracy,f1_weighted,f1_down,f1_flat,f1_up,thr_down,thr_up,params
20260708_153555,gcn,by_file,argmax,0.4757,0.3107,0.6250,0.6932,0.3920,0.7419,0.2933,,,205651
20260708_153555,gcn,by_file,tuned,0.5715,0.3427,0.8360,0.8436,0.3972,0.9051,0.4123,0.75,0.77,205651
20260708_172107,sage,by_file,argmax,0.5445,0.3844,0.7214,0.7694,0.4444,0.8199,0.3691,,,181603
20260708_172107,sage,by_file,tuned,0.6086,0.3976,0.8629,0.8640,0.4492,0.9218,0.4548,0.73,0.67,181603
20260708_195533,gat,by_file,argmax,0.5874,0.3794,0.8282,0.8424,0.4350,0.8999,0.4271,,,188355
20260708_195533,gat,by_file,tuned,0.5841,0.3710,0.8246,0.8395,0.4371,0.8971,0.4181,0.63,0.39,188355
20260708_213729,cgnn_sage,by_file,argmax,0.5529,0.3803,0.7414,0.7844,0.4467,0.8365,0.3755,,,184707
20260708_213729,cgnn_sage,by_file,tuned,0.6008,0.3868,0.8484,0.8551,0.4560,0.9125,0.4339,0.69,0.77,184707
20260715_112522,cgnn,by_file,argmax,0.5379,0.3887,0.7075,0.7586,0.4286,0.8083,0.3767,,,181450
20260715_112522,cgnn,by_file,tuned,0.6246,0.4213,0.8699,0.8704,0.4820,0.9259,0.4660,0.75,0.71,181450
20260715_135605,stgcn,by_file,argmax,0.5800,0.4058,0.7684,0.8058,0.4960,0.8565,0.3874,,,183263
20260715_135605,stgcn,by_file,tuned,0.6195,0.4168,0.8702,0.8696,0.4523,0.9263,0.4798,0.69,0.75,183263
20260715_190724,cgnn_sage,by_file,argmax,0.5261,0.3787,0.6930,0.7469,0.4068,0.7967,0.3749,,,273325
20260715_190724,cgnn_sage,by_file,tuned,0.6153,0.4078,0.8690,0.8684,0.4577,0.9256,0.4628,0.75,0.73,273325
20260905_173716,cgnn,by_file,argmax,0.5414,0.3829,0.7118,0.7627,0.4562,0.8124,0.3554,,,181450
20260905_173716,cgnn,by_file,tuned,0.6237,0.4206,0.8564,0.8631,0.4995,0.9170,0.4547,0.67,0.67,181450
20260905_200905,cgnn,by_file,argmax,0.5442,0.3928,0.7154,0.7650,0.4388,0.8146,0.3792,,,181450
20260905_200905,cgnn,by_file,tuned,0.6295,0.4287,0.8694,0.8711,0.4977,0.9255,0.4653,0.75,0.75,181450
20260905_222628,stgcn,by_file,argmax,0.5632,0.4035,0.7411,0.7852,0.4731,0.8351,0.3815,,,183263
20260905_222628,stgcn,by_file,tuned,0.6315,0.4329,0.8793,0.8766,0.5027,0.9318,0.4601,0.73,0.73,183263
20260906_010756,stgcn,by_file,argmax,0.5652,0.4042,0.7411,0.7854,0.4792,0.8349,0.3814,,,183263
20260906_010756,stgcn,by_file,tuned,0.6337,0.4361,0.8784,0.8765,0.4971,0.9312,0.4729,0.73,0.75,183263
20260906_025031,sage,by_file,argmax,0.5319,0.3733,0.7020,0.7544,0.4364,0.8044,0.3549,,,271855
20260906_025031,sage,by_file,tuned,0.6253,0.4204,0.8633,0.8671,0.4987,0.9215,0.4559,0.73,0.65,271855
20260906_092737,cgnn,by_file,argmax,0.5209,0.3770,0.6762,0.7339,0.4315,0.7818,0.3493,,,720251
20260906_092737,cgnn,by_file,tuned,0.6428,0.4483,0.8752,0.8763,0.5244,0.9288,0.4753,0.73,0.77,720251
20260906_104356,stgcn_sage,by_file,argmax,0.5721,0.4096,0.7592,0.7977,0.4513,0.8485,0.4165,,,181899
20260906_104356,stgcn_sage,by_file,tuned,0.6324,0.4322,0.8716,0.8727,0.5039,0.9268,0.4666,0.75,0.65,181899
20260906_132212,cgnn_gat,by_file,argmax,0.5335,0.3440,0.7033,0.7574,0.4704,0.8077,0.3223,,,186387
20260906_132212,cgnn_gat,by_file,tuned,0.6057,0.3978,0.8387,0.8505,0.4721,0.9056,0.4392,0.53,0.63,186387
20260906_150243,stgcn_gat,by_file,argmax,0.5658,0.3951,0.7593,0.7974,0.4426,0.8496,0.4054,,,186371
20260906_150243,stgcn_gat,by_file,tuned,0.5975,0.3794,0.8505,0.8557,0.4465,0.9138,0.4321,0.69,0.63,186371
